actor_1_name,actor_2_name,actor_3_name,director_name,genres,gross,budget,imdb_score
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,760505847,237000000,7.9
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,309404152,300000000,7.1
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,200074175,245000000,6.8
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,448130642,250000000,8.5
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,73058679,263700000,6.6
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,336530303,258000000,6.2
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,200807262,260000000,7.8
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,458991599,250000000,7.5
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,301956980,250000000,7.5
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,330249062,250000000,6.9
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,200069408,209000000,6.1
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,168368427,200000000,6.7
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,423032628,225000000,7.3
Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action|Adventure|Western,89289910,215000000,6.5
Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,291021565,225000000,7.2
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,141614023,225000000,6.6
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,623279547,220000000,8.1
Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,241063875,250000000,6.7
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,179020854,225000000,6.8
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,255108370,250000000,7.5
Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,262030663,230000000,7.0
Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,105219735,200000000,6.7
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,258355354,225000000,7.9
Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,70083519,180000000,6.1
Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,218051260,207000000,7.2
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,407197282,250000000,8.2
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,65173160,209000000,5.9
Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,652177271,150000000,7.0
Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,304360277,200000000,7.8
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,373377893,200000000,7.3
Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,408992272,200000000,7.2
Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,334185206,200000000,6.5
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,234360014,210000000,6.8
Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,268488329,200000000,7.3
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,402076689,200000000,6.0
Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,245428137,210000000,5.7
Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,234903076,215000000,6.4
Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,202853933,200000000,6.7
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,172051787,170000000,6.8
Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,191450875,200000000,6.3
Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,116593191,200000000,5.6
Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,414984497,200000000,8.3
Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,125320003,200000000,6.6
