actor_name,no_of_fb_likes,total_profit,total_imdb_score
Jacki Weaver,401.0,0.9548256666666667,6.2
Lymari Nadal,271.0,0.0,8.0
Paul McGill,41.0,2.957978,7.8
Ta'Rhonda Jones,912.0,0.0,7.8
James Le Gros,135.0,2.427617,6.5
Jemima West,432.0,0.0,2.0
Alex Karpovsky,272.0,0.6006479545454545,6.85
Tyra Banks,625.0,1.025402988888889,5.699999999999999
Reda Kateb,154.0,0.0,7.3
Sean Maher,505.0,0.633398375,8.0
Dorothy Lyman,86.0,1.25179625,7.2
Denis Lavant,226.0,0.043743382978723405,6.733333333333334
Jack Elam,392.0,0.0,8.6
Julie Kavner,233.0,1.075088043452381,6.866666666666667
Miguel A. Núñez Jr.,271.0,1.8248593095238095,4.9
Carol Block,0.0,0.0,7.5
Omar Benson Miller,418.0,0.9207432840406504,6.02
Dell Yount,62.0,0.9553557391304348,6.6
Ryan Kruger,165.0,0.36518083333333334,6.0
Ed Quinn,538.0,0.0,3.4
David Dastmalchian,290.0,0.0,6.2
Brian Bosworth,174.0,0.5462537647058824,5.9
Dequina Moore,41.0,0.6607015,6.7
Sunil Narkar,34000.0,0.0,6.6
Adrienne Frantz,73.0,0.0,5.2
Paula Abdul,208.0,1.7093334933333333,6.3
Neil Flynn,625.0,2.0690626595654478,6.866666666666667
John Howard,172.0,0.0266586,6.4
Jesse L. Martin,715.0,0.9818726775,6.35
David Eigenberg,395.0,1.10089675,6.5
Bobby Campo,292.0,0.0,7.3
Elena Anaya,1000.0,0.39959432608695655,6.166666666666667
Victor Webster,940.0,1.4631621,5.9
Tempestt Bledsoe,394.0,0.016779166666666668,4.95
Benjamin A. Onyango,634.0,4.154614,3.4
Marcia Wallace,433.0,2.4417649333333333,7.4
David Barnes,0.0,0.0,7.6
Anne Bancroft,754.0,0.5458111805555556,6.3
Frank McHugh,37.0,0.0,7.1
Jamie Renée Smith,650.0,0.5789288103448276,5.8
Breckin Meyer,0.0,0.0,7.8
James Patrick Stuart,251.0,0.4307984,7.7
Adam LeFevre,80.0,0.6023766611295681,6.333333333333333
Samantha Morton,631.1111111111111,0.12893937374120423,6.711111111111112
Hiroyuki Ikeuchi,16.0,0.0,6.1
Christopher Heyerdahl,825.5,0.100496775,5.125
M.C. Gainey,284.0,1.5091050161609687,6.466666666666666
Fann Wong,154.0,1.2094044,6.2
Xinhua Jiang,0.0,0.039053333333333336,7.1
Will Geer,188.0,0.0,8.0
Ben Crompton,257.0,0.09363818181818181,6.3
Ricky Martin,282.0,19.846398833333332,7.5
Jason Lewis,948.0,0.21728037931034483,7.1
Curt Doussett,17.0,2.22323,6.0
Owen Teale,112.0,0.16948742857142857,5.4
Mason Lee,670.0,3.180699825,6.5
Gloria Foster,99.0,1.3990532976190477,8.399999999999999
Katie Leclerc,483.0,0.0,4.5
Denise Boutte,295.0,0.0,3.65
Jossara Jinaro,847.0,0.07295469387755102,3.9
Christina Milian,1000.0,1.1220675783740286,4.96
Jay Leno,241.0,2.4416220375,6.9
Emma Stone,15000.0,2.5075494517928916,6.671428571428572
Taliesin Jaffe,26.0,0.0,7.4
Tim Choate,13.0,0.0,4.3
Paul McGillion,405.0,0.0,6.3999999999999995
Tao Okamoto,992.0,1.1045913333333333,6.7
Stephen Amell,5000.0,0.6047309185185186,6.3
