director_name,no_of_fb_likes,total_profit,total_imdb_score
Stuart Gillard,8.0,2.5094117647058822,4.8
Tobe Hooper,365.0,107.89814504331632,6.7
Peter Kassovitz,0.0,0.33042673333333333,6.5
Rich Cowan,7.0,0.46849384615384615,6.5
Shane Meadows,222.0,0.05681489392017656,7.55
André Téchiné,25.0,0.0,6.0
Tony Bancroft,7.0,1.3402044777777777,7.5
John Gulager,38.0,0.0,6.4
Shari Springer Berman,30.0,0.03236278571428571,6.7
Walter Salles,179.0,0.9357556503448275,6.566666666666666
Stefen Fangmeier,14.0,0.75030163,5.1
Jeff Kanew,6.0,0.4727135,5.5
Collin Schiffli,4.0,0.0,6.2
Catherine Owens,0.0,0.0,8.4
Francis Lawrence,508.0,2.1955466134133603,7.0
Paul Haggis,549.0,4.347642991208791,7.6
Henry Hathaway,83.0,0.0,7.1
Werner Herzog,0.0,0.31666765,7.0
Karyn Kusama,45.0,0.7149319344758064,5.3
Rowan Joffe,17.0,0.06734118181818181,6.0
Lee Tamahori,93.0,0.5505523024024608,6.140000000000001
Gary McKendry,5.0,0.7169602,6.5
Mark Tarlov,3.0,0.7324893333333333,5.3
Sol Tryon,0.0,0.02411,6.5
Ruben Fleischer,181.0,1.7643148718590258,6.833333333333333
John Putch,60.0,0.3333823,5.5
Michael Kang,269.0,0.0,6.8
Jeffrey W. Byrd,2.0,0.2671270666666667,4.1
Laurence Dunmore,2.0,0.0,6.4
Miguel Sapochnik,238.0,0.4300978125,6.3
Rupert Wainwright,9.0,1.7255769655172415,6.2
Daniele Luchetti,6.0,0.0,5.7
John Erick Dowdle,66.0,3.9239888374999996,6.3
Brian Yuzna,97.0,0.0,5.9
Kevin Smith,0.0,6.266000725587618,6.566666666666666
George Nolfi,53.0,1.2440899402390437,7.1
Vicky Jewson,3.0,0.0,4.4
Jeta Amata,20.0,0.0,5.6
Carol Reed,82.0,0.84,7.15
Jennifer Wynne Farmer,0.0,0.015011428571428571,6.5
Bruce McCulloch,54.0,1.1018889723809524,5.066666666666666
Kirk Jones,52.0,2.9813558407142855,6.6
George Cukor,165.0,4.235294117647059,7.9
Ken Shapiro,2.0,0.0,5.0
Bille Woodruff,23.0,1.654294,5.125
Scott Dow,6.0,0.0,3.4
Nicholas Fackler,6.0,0.024944,7.3
Anthony Bell,0.0,1.25389885,5.3
Catherine Hardwicke,308.0,2.286547441875345,5.985714285714286
Joseph Zito,17.0,9.055555555555555,5.6
Jamin Winans,63.0,0.0,7.0
Christopher Barnard,0.0,0.0,7.2
Jay Duplass,157.0,3.5801531726190476,6.35
Gene Teigland,0.0,0.03936,5.6
Jimmy Hayward,39.0,0.6189189164410058,5.300000000000001
Anna Mastro,7.0,0.0,5.3
John G. Avildsen,80.0,48.273349652777775,7.5
Jonathan Dayton,36.0,7.4862435,7.9
Tommy Wirkola,75.0,0.5828888249999999,6.25
Gary David Goldberg,30.0,1.4631621,5.9
Joe Pytka,30.0,1.1305450375,6.3
Preston A. Whitmore II,17.0,2.515168368131868,4.1
Brett Ratner,420.0,1.170780676170056,6.409999999999999
Regardt van den Bergh,12.0,0.0,6.9
Boris Rodriguez,5.0,0.001014,5.7
Jesse Peretz,37.0,2.5485246999999998,5.95
Joe Wright,456.0,0.7045715530357143,6.637499999999998
Serdar Akar,11.0,0.0,6.0
Joseph Green,2.0,0.0,4.1
Jay Chandrasekhar,422.0,4.6730523368796995,6.025
Anne Fletcher,98.0,2.802282541904762,6.040000000000001
Warren Sheppard,0.0,0.0,4.0
Danny Boyle,0.0,2.5053212084106637,7.388888888888889
Sam Raimi,0.0,1.2109488271973012,6.907692307692307
Dan Perri,0.0,0.0,6.7
Donald Petrie,80.0,1.228183984455577,5.6625000000000005
Hans Canosa,3.0,0.8424933333333333,7.1
Dario Argento,930.0,0.03884644444444445,6.1
Robert Stevenson,55.0,17.05,7.8
Huck Botko,10.0,0.15742617647058824,4.6
Efram Potelle,2.0,0.279282,6.1
Steve Beck,17.0,1.4764035142857144,5.5
Matt Reeves,198.0,1.2587053214705883,6.675000000000001
Zack Ward,662.0,0.0,4.0
Michael Ritchie,23.0,1.1608963623809525,6.2
Gilles Paquet-Brenner,15.0,0.76917,7.5
David Nixon,13.0,0.8138794285714286,6.3
Melvin Van Peebles,101.0,30.36,5.5
Marcos Siega,32.0,0.22619108,4.1
David Lynch,0.0,0.35721835999999996,7.640000000000001
Aki Kaurismäki,592.0,0.15888545454545455,7.2
Tony Richardson,62.0,0.34,6.4
Walt Becker,12.0,1.4671770293650792,5.675000000000001
John Hillcoat,214.0,0.52799181,7.0
Eric Blakeney,3.0,0.1631839,5.7
Arthur Hiller,71.0,0.0015447,3.5
Sergey Bodrov,44.0,0.1563269545614035,6.266666666666667
Quentin Tarantino,16000.0,3.5183804043939397,8.200000000000001
Chris Gorak,21.0,0.7142268333333334,4.9
Sharron Miller,0.0,0.0,4.1
Frank Oz,0.0,1.123029693305959,6.5375
William Phillips,3.0,0.0,6.5
Louis C.K.,0.0,1.0977526666666666,5.2
Patrick Gilles,0.0,0.0,7.5
Lucile Hadzihalilovic,92.0,0.0,6.4
William Malone,37.0,1.2321352637844611,4.449999999999999
Douglas McGrath,41.0,0.20703750726495726,6.3999999999999995
Todd Solondz,377.0,2.32125,7.266666666666667
Doug Lefler,4.0,0.16948742857142857,5.4
Barbet Schroeder,58.0,0.5495184366666667,6.033333333333334
Gerald Potterton,0.0,0.0,6.7
Derrick Borte,17.0,0.2949016,6.5
Kar-Wai Wong,0.0,0.09310014073114566,6.8999999999999995
Michael Herz,6.0,0.17238391304347825,5.65
Billy Wilder,0.0,2.167243211153986,7.9750000000000005
Nils Gaup,8.0,0.0,6.7
Paul Tibbitt,5.0,2.195889837837838,6.0
Kurt Wimmer,110.0,0.3380998833333333,5.95
Michael Roemer,0.0,0.0777375,8.1
Jonathan Hensleigh,36.0,1.0206749393939394,6.5
Ericson Core,19.0,0.2740211619047619,5.3
John Maclean,85.0,0.0,6.9
Pedro Almodóvar,0.0,0.0,7.6
Lance McDaniel,0.0,0.0,8.0
RZA,561.0,1.0405696666666666,5.4
Richard Lester,44.0,0.8923634055759055,6.6
Aaron Schneider,11.0,1.2235404,7.1
Peter Landesman,15.0,0.9866237714285714,7.1
Kevin Tancharoen,64.0,1.2826079722222223,5.2
Dany Boon,172.0,0.0,7.1
Alexandre Aja,192.0,1.5902202824675324,6.2250000000000005
Steve Carver,8.0,2.44,6.3
Gregory Hoblit,40.0,0.8628955236815156,6.6000000000000005
Bennett Miller,152.0,2.809452777142857,7.5
Andrew Haigh,131.0,3.916225,7.7
Daisy von Scherler Mayer,18.0,0.44664697202797204,4.6
Dan Mazer,11.0,3.090222956521739,6.0
David Lam,4.0,0.0,5.3
Scott Derrickson,301.0,4.554829918333333,6.14
Brad Silberling,52.0,1.0643781378030304,6.2
Chris Robinson,49.0,0.0,6.0
Jackie Earle Haley,0.0,0.0,5.8
David R. Ellis,160.0,1.2574100836752136,5.516666666666666
Lorene Scafaria,63.0,0.6619173,6.7
Kunihiko Yuyama,8.0,0.0,5.6
Sam Miller,12.0,2.0031608909090908,5.75
Deryck Broom,11.0,0.0,3.7
Nicole Holofcener,132.0,4.454711315384616,6.660000000000001
Marco Kreuzpaintner,7.0,0.02652063888888889,7.45
Thomas Carter,49.0,3.7510816358974357,6.666666666666667
Joseph L. Mankiewicz,311.0,1.8560179977502813,7.0
Rita Merson,5.0,0.0,5.3
Phyllida Lloyd,58.0,2.53405725,6.35
Dan Ireland,137.0,0.0,5.0
Jason Eisener,59.0,0.234334,6.1
Joel Gallen,11.0,2.3676594375,5.7
John Reinhardt,2.0,0.0,7.1
Ronan Chapalain,0.0,0.8148046,6.9
Hal Needham,379.0,0.2666829,3.5
Corey Grant,21.0,0.0,5.4
Andrew Leman,2.0,0.0,7.3
Danny Provenzano,84.0,0.0,5.4
Ed Gass-Donnelly,8.0,3.0305758,4.0
Michel Hazanavicius,405.0,2.9778063333333336,8.0
Ernest R. Dickerson,226.0,1.6221975384615384,6.7
Barbra Streisand,0.0,2.002817988888889,6.566666666666666
Asger Leth,20.0,0.44287883333333333,6.6
Anand Tucker,14.0,0.04485536842105264,6.566666666666667
Tom Walsh,2.0,0.0,4.8
Dave Carroll,0.0,0.0,7.9
Sydney Pollack,521.0,3.2052196122800587,6.58
Bob Spiers,14.0,1.1698962,3.3
Bobcat Goldthwait,800.0,0.0,6.9
Jamie Travis,15.0,1.4634835294117647,6.0
Christian Alvart,22.0,0.4017976515151515,6.5
Edgar Wright,1000.0,2.0358768,7.6
Tim Boxell,10.0,0.0474664,6.6
Iain Softley,34.0,0.7058199068313954,6.55
Bob Giraldi,34.0,0.0,7.3
Tamara Jenkins,84.0,0.5480318,6.9
Lawrence Guterman,6.0,0.8793801035714286,3.7
Warren P. Sonoda,28.0,0.03536485714285714,4.7
Bruno Barreto,9.0,0.0,6.4
Phil Traill,3.0,2.257334,4.8
S.S. Rajamouli,50.0,0.3604763480251022,8.4
Matt Maiellaro,8.0,7.358557333333334,6.9
Frédéric Auburtin,18.0,0.0,2.0
Steven Zaillian,234.0,0.5381737931818181,6.35
Michael Cohn,2.0,0.0,6.3
Babak Najafi,24.0,1.0400210666666667,5.9
George Lucas,0.0,40.02030957854543,7.4
James Gunn,571.0,0.8633502044275775,7.133333333333333
Jon Turteltaub,226.0,2.0107374238675013,6.5
Penelope Spheeris,122.0,6.0848675,7.0
Fabián Bielinsky,44.0,0.814174,7.9
Daniel Barber,12.0,0.24913438356164383,7.2
Troy Duffy,78.0,0.6418316875,7.1
Harald Reinl,2.0,0.0,6.0
David Cross,0.0,0.0,5.8
Hark Tsui,85.0,0.2878896,4.8
Jason Stone,14.0,0.0,5.8
Steve McQueen,0.0,1.7244124423076923,7.699999999999999
Alan Taylor,230.0,0.8963994068311196,6.85
Charles S. Dutton,534.0,0.15080779487179488,5.3
Noel Marshall,4.0,0.11764705882352941,6.4
Sharon Maguire,11.0,2.7500213846153847,6.7
Jake Paltrow,17.0,0.0013586666666666667,5.9
Hugh Hudson,46.0,5.441677986631016,6.4
Bruce Hunt,2.0,0.4962676,5.1
Hoyt Yeatman,12.0,0.7961350133333334,5.1
Michael O. Sajbel,6.0,0.33477935,6.85
Jeff Burr,155.0,1.2727272727272727,5.9
Henry Koster,28.0,7.2,6.8
Jamie Babbit,91.0,1.1283754166666666,6.5
Stefan Schwartz,13.0,0.10073466666666667,6.6
Christophe Ali,0.0,0.0,5.4
Patrick Lussier,71.0,1.2069766032142857,5.4
Katherine Brooks,57.0,0.0,6.7
