genre_name,no_of_fb_likes,total_profit,total_imdb_score
Sci-Fi,14913.753246753247,1.5555585242570849,6.281818181818177
Crime,6762.159730033746,1.670773957077827,6.564791901012373
Romance,5886.6711833785,2.643195885614778,6.450587172538394
Animation,7167.706611570248,1.868066781480993,6.576033057851242
Music,4329.971962616823,3.1032202718792625,6.4102803738317755
Comedy,4901.175213675214,2.3385617456247796,6.19524572649573
War,7188.549295774648,1.3355149059885272,7.070422535211264
Horror,6444.803539823009,21.98591354891108,5.843539823008848
Film-Noir,194.83333333333334,0.0005744202898550725,7.633333333333334
Adventure,13219.431202600217,1.6298853499025636,6.441170097508129
News,3496.3333333333335,0.0,7.533333333333334
Reality-TV,70.5,0.0,4.75
Thriller,8223.644223954641,2.763934413685096,6.314245216158757
Western,7663.216494845361,1.6832673019352211,6.6896907216494865
Mystery,8342.554,1.8343129879050881,6.4864
Short,17.6,2.213323317647059,6.38
Drama,7696.043562066307,2.191223209094175,6.763762528912885
Action,10426.511708586297,1.5069934281944213,6.239895923677372
Documentary,2453.7355371900826,26.474982780841287,7.180165289256201
Musical,4729.636363636364,2.7432053314658638,6.507575757575757
History,7290.536231884058,1.1346172067671039,7.083574879227051
Family,6228.4322344322345,2.1311230808872015,6.245054945054945
Fantasy,11256.396721311476,1.9196726655070606,6.30704918032787
Game-Show,141.0,0.0,2.9
Sport,5058.043956043956,2.8170021107064227,6.606043956043955
Biography,11051.034129692833,10.96943842532751,7.150170648464165
